1, 14, 22, 7, 29, 26, 21, 4, 3, 19, 17, 27, 9, 10, 25, 13, 23, 6, 16, 20, 5, 11, 18, 28, 30, 15, 24, 8, 12, 2,
16, 29, 7, 5, 13, 27, 3, 15, 22, 9, 4, 28, 18, 21, 20, 19, 12, 8, 2, 25, 26, 24, 17, 14, 23, 1, 10, 30, 11, 6,
10, 26, 5, 2, 19, 21, 8, 6, 4, 23, 13, 14, 15, 1, 11, 20, 7, 12, 28, 3, 17, 18, 27, 9, 24, 16, 30, 29, 22, 25,
19, 21, 9, 11, 12, 26, 23, 2, 22, 7, 30, 6, 13, 14, 18, 17, 8, 24, 28, 25, 4, 5, 10, 15, 20, 29, 3, 1, 16, 27,
17, 14, 21, 7, 11, 2, 19, 29, 22, 5, 26, 6, 15, 18, 8, 28, 9, 27, 12, 23, 30, 24, 4, 10, 16, 20, 13, 25, 1, 3,
3, 1, 5, 24, 18, 17, 12, 2, 10, 15, 7, 19, 16, 20, 29, 8, 22, 4, 14, 13, 26, 30, 21, 28, 11, 27, 9, 6, 25, 23,
28, 3, 13, 21, 18, 19, 24, 27, 11, 14, 7, 10, 20, 4, 15, 6, 17, 1, 8, 26, 25, 23, 29, 16, 2, 5, 22, 30, 12, 9,
19, 20, 11, 18, 24, 1, 29, 10, 21, 14, 22, 30, 28, 12, 26, 3, 5, 8, 4, 27, 17, 6, 16, 9, 2, 13, 23, 25, 7, 15,
4, 8, 29, 24, 10, 14, 16, 19, 13, 23, 17, 3, 26, 5, 22, 2, 1, 9, 7, 12, 27, 11, 6, 21, 25, 30, 15, 20, 28, 18,
14, 24, 21, 10, 27, 9, 22, 12, 28, 16, 11, 1, 4, 3, 7, 19, 5, 2, 15, 23, 8, 18, 26, 25, 13, 20, 17, 6, 30, 29,
29, 27, 17, 24, 11, 12, 10, 14, 2, 20, 25, 8, 5, 23, 4, 30, 16, 26, 18, 3, 28, 15, 19, 1, 13, 22, 9, 21, 7, 6,
25, 2, 13, 28, 16, 23, 5, 14, 18, 8, 20, 15, 26, 11, 30, 22, 29, 1, 27, 3, 10, 24, 4, 6, 9, 21, 12, 17, 7, 19,
4, 30, 25, 26, 27, 28, 19, 5, 10, 24, 8, 2, 23, 16, 11, 13, 9, 1, 17, 22, 20, 15, 6, 7, 21, 18, 14, 12, 29, 3,
1, 5, 27, 23, 10, 20, 24, 15, 8, 12, 7, 25, 14, 19, 9, 18, 30, 16, 22, 17, 29, 28, 6, 21, 26, 4, 2, 13, 11, 3,
24, 22, 21, 9, 23, 16, 12, 2, 28, 5, 27, 19, 14, 25, 30, 15, 1, 3, 17, 20, 13, 10, 8, 18, 29, 4, 6, 7, 26, 11,
15, 12, 30, 23, 3, 25, 20, 14, 13, 18, 9, 29, 6, 16, 19, 2, 1, 10, 21, 8, 5, 22, 26, 24, 17, 27, 11, 4, 7, 28,
12, 15, 29, 16, 25, 26, 7, 18, 24, 10, 2, 1, 9, 6, 5, 22, 4, 17, 13, 14, 8, 28, 19, 3, 23, 27, 21, 20, 30, 11,
29, 30, 22, 8, 9, 3, 23, 27, 7, 25, 1, 12, 19, 26, 18, 21, 5, 20, 10, 4, 13, 16, 11, 15, 17, 24, 28, 14, 6, 2,
13, 16, 24, 3, 10, 14, 15, 12, 18, 28, 22, 7, 23, 17, 20, 29, 26, 19, 1, 27, 2, 6, 30, 5, 4, 25, 9, 8, 11, 21,
2, 9, 6, 12, 29, 4, 25, 20, 19, 30, 11, 14, 16, 22, 15, 8, 13, 5, 28, 18, 7, 3, 23, 17, 27, 1, 10, 24, 21, 26,
1, 7, 17, 20, 11, 21, 5, 30, 26, 13, 22, 23, 24, 27, 16, 6, 3, 8, 10, 15, 9, 28, 14, 18, 4, 25, 12, 19, 29, 2,
29, 19, 24, 2, 7, 13, 20, 11, 16, 17, 4, 30, 14, 22, 1, 9, 15, 3, 21, 5, 26, 23, 28, 18, 8, 6, 10, 25, 12, 27,
17, 3, 19, 13, 1, 7, 26, 28, 15, 25, 12, 9, 27, 5, 10, 11, 16, 6, 21, 2, 14, 23, 22, 18, 4, 24, 8, 29, 20, 30,
16, 15, 9, 28, 10, 23, 27, 22, 29, 11, 6, 14, 3, 24, 7, 2, 5, 21, 26, 18, 19, 4, 25, 12, 13, 30, 1, 17, 20, 8,
13, 21, 29, 24, 15, 28, 7, 30, 12, 3, 26, 6, 2, 10, 5, 11, 19, 27, 16, 1, 8, 9, 17, 20, 4, 22, 23, 25, 18, 14,
30, 21, 14, 27, 5, 29, 25, 13, 26, 2, 12, 19, 6, 9, 20, 1, 22, 4, 15, 8, 24, 28, 11, 17, 23, 10, 7, 18, 3, 16,
7, 19, 16, 1, 23, 20, 25, 21, 26, 17, 4, 22, 12, 18, 5, 30, 24, 9, 11, 15, 10, 29, 14, 6, 3, 8, 28, 27, 2, 13,
8, 28, 16, 1, 21, 11, 26, 6, 25, 15, 7, 24, 19, 10, 5, 3, 13, 4, 14, 22, 30, 17, 20, 27, 18, 9, 2, 29, 12, 23,
20, 22, 27, 12, 14, 26, 18, 23, 5, 1, 25, 11, 19, 3, 24, 10, 7, 4, 16, 6, 15, 28, 9, 30, 13, 8, 2, 17, 21, 29,
9, 8, 28, 26, 16, 27, 25, 12, 23, 1, 13, 7, 11, 30, 5, 20, 29, 2, 10, 19, 4, 24, 18, 22, 3, 6, 21, 17, 14, 15,
30, 12, 21, 28, 14, 24, 13, 17, 15, 18, 6, 3, 16, 23, 5, 25, 10, 29, 9, 4, 7, 22, 2, 1, 27, 20, 19, 11, 26, 8,
10, 5, 28, 15, 7, 24, 12, 8, 20, 26, 16, 3, 27, 1, 14, 11, 23, 2, 22, 17, 19, 21, 30, 18, 29, 25, 13, 4, 6, 9,
16, 29, 8, 4, 6, 19, 23, 22, 30, 1, 5, 14, 20, 13, 28, 21, 18, 24, 11, 26, 17, 3, 27, 10, 2, 25, 7, 12, 9, 15,
27, 24, 1, 13, 10, 4, 20, 14, 25, 29, 8, 28, 18, 30, 22, 21, 6, 12, 3, 9, 5, 7, 19, 11, 26, 2, 23, 15, 17, 16,
