1, 18, 29, 8, 38, 34, 27, 7, 3, 23, 20, 36, 4, 21, 32, 13, 28, 15, 25, 14, 37, 24, 31, 35, 40, 39, 33, 16, 6, 22, 19, 17, 2, 12, 10, 9, 5, 26, 30, 11,
6, 35, 13, 19, 16, 3, 2, 1, 37, 24, 26, 4, 33, 22, 32, 31, 34, 17, 5, 11, 38, 23, 21, 8, 18, 20, 25, 14, 36, 12, 15, 10, 9, 27, 29, 30, 28, 40, 7, 39,
2, 9, 26, 16, 4, 22, 38, 19, 39, 28, 31, 18, 20, 6, 36, 33, 30, 32, 5, 40, 15, 14, 23, 27, 3, 11, 8, 7, 34, 13, 21, 12, 24, 35, 1, 10, 37, 29, 17, 25,
18, 28, 7, 12, 17, 24, 39, 2, 11, 34, 14, 15, 20, 38, 37, 25, 35, 33, 16, 40, 26, 32, 30, 5, 31, 6, 23, 29, 8, 27, 19, 9, 4, 1, 36, 22, 10, 21, 3, 13,
15, 8, 17, 37, 11, 20, 23, 12, 22, 26, 38, 10, 29, 27, 6, 30, 40, 33, 39, 1, 28, 34, 32, 18, 36, 5, 21, 16, 4, 31, 9, 35, 24, 7, 14, 3, 19, 13, 2, 25,
6, 34, 19, 11, 21, 30, 31, 25, 28, 1, 20, 9, 33, 12, 39, 18, 10, 23, 7, 40, 38, 4, 36, 3, 13, 22, 26, 16, 32, 27, 17, 29, 14, 37, 24, 15, 5, 2, 8, 35,
38, 31, 10, 17, 18, 22, 13, 29, 5, 37, 32, 28, 26, 19, 12, 11, 9, 3, 33, 7, 23, 2, 21, 1, 25, 34, 15, 14, 24, 4, 27, 39, 20, 8, 36, 40, 6, 30, 16, 35,
9, 20, 2, 12, 31, 24, 15, 17, 10, 8, 6, 16, 1, 18, 14, 3, 29, 40, 38, 5, 35, 26, 27, 22, 13, 19, 34, 37, 30, 28, 36, 25, 7, 33, 11, 39, 23, 32, 4, 21,
19, 32, 6, 31, 13, 14, 29, 35, 9, 21, 38, 24, 2, 12, 22, 26, 10, 7, 23, 36, 28, 39, 30, 11, 33, 20, 34, 8, 4, 37, 1, 25, 5, 40, 18, 16, 17, 27, 3, 15,
34, 36, 37, 23, 35, 7, 29, 5, 40, 28, 14, 1, 27, 10, 31, 26, 22, 17, 32, 12, 21, 11, 4, 6, 2, 18, 13, 24, 39, 3, 33, 30, 38, 25, 20, 8, 16, 9, 19, 15,
13, 3, 10, 40, 7, 17, 4, 36, 32, 38, 33, 6, 2, 34, 12, 27, 35, 14, 11, 23, 18, 30, 26, 21, 39, 15, 1, 9, 22, 37, 5, 31, 29, 20, 19, 8, 16, 24, 25, 28,
7, 34, 23, 31, 21, 17, 3, 19, 40, 32, 39, 2, 28, 22, 20, 26, 8, 38, 12, 14, 16, 11, 25, 24, 13, 18, 9, 1, 33, 4, 15, 6, 27, 30, 36, 37, 5, 29, 10, 35,
32, 34, 4, 20, 31, 6, 14, 8, 29, 1, 9, 24, 23, 12, 26, 30, 21, 35, 7, 36, 37, 27, 11, 13, 18, 40, 15, 17, 16, 5, 28, 38, 39, 10, 33, 22, 19, 25, 3, 2,
8, 17, 19, 12, 24, 30, 22, 3, 36, 5, 34, 7, 20, 15, 13, 26, 29, 35, 18, 10, 27, 2, 16, 31, 39, 11, 4, 1, 14, 33, 25, 37, 23, 9, 38, 40, 28, 6, 32, 21,
21, 24, 37, 29, 3, 7, 15, 11, 19, 39, 18, 34, 27, 26, 40, 16, 20, 22, 30, 17, 14, 1, 38, 5, 23, 33, 13, 4, 25, 8, 35, 10, 36, 6, 31, 9, 32, 2, 28, 12,
25, 8, 40, 33, 10, 26, 27, 28, 34, 12, 22, 13, 3, 1, 18, 2, 4, 32, 38, 23, 11, 6, 19, 31, 5, 9, 37, 35, 30, 17, 36, 29, 16, 24, 7, 14, 15, 39, 21, 20,
2, 36, 22, 12, 6, 24, 10, 31, 13, 17, 26, 29, 20, 33, 4, 7, 30, 11, 15, 21, 37, 39, 28, 1, 18, 19, 38, 16, 9, 5, 25, 8, 34, 14, 32, 23, 35, 3, 27, 40,
