1, 9, 15, 6, 20, 18, 3, 7, 16, 14, 10, 19, 17, 2, 12, 4, 11, 8, 13, 5,
2, 17, 5, 12, 16, 20, 19, 14, 8, 9, 3, 6, 10, 13, 1, 4, 15, 18, 11, 7,
12, 4, 18, 8, 11, 10, 9, 3, 6, 19, 15, 16, 14, 7, 1, 13, 5, 20, 2, 17,
12, 7, 18, 5, 3, 14, 15, 8, 2, 4, 17, 13, 6, 1, 10, 16, 9, 11, 19, 20,
17, 16, 3, 7, 14, 11, 6, 5, 19, 13, 20, 1, 18, 15, 2, 12, 4, 8, 10, 9,
13, 14, 20, 17, 5, 6, 10, 9, 1, 15, 18, 16, 3, 4, 7, 12, 2, 8, 11, 19,
1, 12, 2, 11, 15, 7, 10, 3, 5, 20, 17, 8, 19, 14, 9, 4, 6, 16, 13, 18,
16, 14, 7, 20, 9, 2, 12, 1, 13, 8, 5, 11, 3, 6, 15, 19, 10, 17, 18, 4,
10, 3, 7, 5, 1, 8, 12, 19, 11, 14, 15, 13, 16, 17, 20, 18, 6, 4, 2, 9,
12, 20, 14, 19, 5, 11, 16, 3, 15, 18, 4, 1, 8, 10, 9, 17, 13, 7, 6, 2,
1, 18, 16, 14, 11, 8, 2, 13, 5, 4, 17, 7, 9, 12, 10, 6, 19, 20, 15, 3,
20, 3, 13, 7, 14, 1, 19, 6, 17, 15, 16, 8, 12, 18, 11, 2, 10, 5, 4, 9,
11, 18, 15, 12, 7, 9, 20, 17, 1, 13, 14, 16, 6, 2, 4, 5, 19, 8, 10, 3,
5, 11, 14, 1, 18, 15, 2, 9, 3, 10, 19, 12, 17, 8, 13, 7, 16, 4, 20, 6,
3, 14, 6, 19, 10, 1, 8, 5, 2, 9, 13, 18, 17, 15, 16, 7, 12, 4, 11, 20,
4, 5, 2, 6, 13, 20, 19, 14, 17, 12, 3, 11, 15, 1, 18, 7, 9, 8, 10, 16,
13, 20, 2, 14, 4, 3, 18, 11, 5, 7, 12, 10, 9, 15, 8, 6, 17, 19, 16, 1,
9, 15, 1, 8, 11, 3, 13, 10, 18, 14, 20, 2, 5, 17, 19, 6, 12, 16, 7, 4,
14, 4, 2, 19, 11, 7, 8, 20, 18, 3, 10, 6, 17, 5, 15, 1, 12, 13, 9, 16,
3, 16, 12, 13, 14, 1, 10, 7, 2, 17, 11, 15, 4, 9, 19, 5, 8, 18, 20, 6,
15, 5, 13, 16, 9, 10, 8, 4, 17, 6, 14, 12, 11, 20, 1, 2, 3, 7, 18, 19,
19, 16, 6, 1, 17, 7, 13, 18, 5, 9, 12, 8, 2, 15, 11, 20, 4, 3, 10, 14,
2, 15, 20, 3, 13, 9, 12, 8, 14, 7, 11, 5, 19, 17, 10, 18, 16, 1, 6, 4,
20, 15, 1, 17, 13, 10, 9, 5, 6, 3, 4, 8, 2, 7, 12, 16, 11, 14, 18, 19,
1, 9, 5, 19, 8, 4, 18, 10, 13, 15, 20, 16, 6, 2, 3, 7, 14, 12, 17, 11,
1, 14, 16, 2, 12, 11, 5, 13, 15, 6, 18, 4, 19, 8, 3, 17, 10, 20, 9, 7,
20, 15, 5, 6, 2, 16, 18, 4, 17, 1, 11, 3, 7, 12, 9, 13, 14, 19, 10, 8,
9, 8, 18, 11, 17, 4, 10, 2, 6, 14, 16, 3, 19, 15, 1, 5, 7, 13, 20, 12,
12, 5, 13, 7, 10, 19, 16, 9, 3, 17, 6, 4, 20, 18, 14, 15, 8, 2, 1, 11,
1, 6, 4, 9, 20, 3, 17, 14, 8, 5, 11, 13, 2, 7, 15, 12, 16, 10, 18, 19,
17, 11, 3, 5, 1, 2, 13, 18, 7, 20, 6, 9, 4, 8, 16, 19, 12, 10, 14, 15,
3, 12, 13, 14, 17, 7, 2, 8, 20, 4, 6, 16, 18, 1, 9, 11, 5, 10, 15, 19,
10, 20, 13, 16, 14, 7, 11, 15, 1, 3, 5, 8, 2, 6, 18, 9, 17, 4, 12, 19,
5, 2, 12, 1, 16, 8, 10, 14, 4, 3, 18, 9, 13, 11, 17, 6, 15, 20, 7, 19,
6, 15, 4, 7, 18, 8, 16, 3, 1, 17, 13, 11, 9, 2, 14, 10, 5, 12, 19, 20,
9, 10, 12, 11, 8, 19, 1, 17, 6, 16, 20, 3, 5, 15, 4, 7, 14, 13, 2, 18,
7, 14, 5, 12, 16, 11, 8, 18, 20, 10, 17, 1, 3, 4, 9, 19, 2, 15, 13, 6,
20, 5, 19, 17, 3, 13, 1, 8, 4, 11, 18, 9, 14, 7, 2, 10, 6, 12, 16, 15,
6, 16, 15, 20, 3, 11, 19, 8, 4, 18, 13, 7, 17, 14, 1, 9, 12, 10, 2, 5,
8, 15, 5, 18, 10, 16, 17, 2, 7, 14, 9, 11, 1, 13, 4, 3, 12, 20, 6, 19,
16, 12, 17, 10, 1, 14, 6, 11, 15, 20, 5, 18, 3, 9, 8, 4, 2, 19, 7, 13,
4, 10, 6, 16, 8, 19, 13, 9, 1, 12, 3, 7, 11, 15, 2, 14, 18, 17, 5, 20,
2, 6, 15, 7, 4, 20, 1, 19, 14, 11, 12, 9, 16, 3, 18, 8, 5, 10, 13, 17,
17, 11, 15, 8, 13, 1, 6, 12, 18, 16, 14, 4, 7, 2, 9, 5, 20, 19, 10, 3,
5, 9, 8, 4, 13, 10, 6, 19, 3, 15, 2, 18, 14, 12, 1, 16, 11, 7, 20, 17,
2, 7, 18, 13, 10, 5, 14, 11, 12, 8, 16, 15, 1, 17, 19, 20, 3, 6, 4, 9,
8, 15, 7, 10, 9, 12, 16, 14, 11, 3, 4, 17, 13, 20, 6, 1, 18, 2, 19, 5,
19, 9, 11, 8, 20, 14, 3, 2, 5, 6, 7, 18, 10, 13, 12, 1, 15, 4, 17, 16,
15, 16, 3, 12, 18, 10, 11, 6, 8, 19, 17, 9, 5, 1, 13, 2, 4, 20, 7, 14,
1, 3, 12, 15, 14, 20, 11, 13, 10, 5, 4, 19, 7, 9, 17, 16, 2, 8, 18, 6,
11, 4, 16, 14, 5, 12, 15, 19, 18, 8, 2, 13, 7, 17, 3, 10, 20, 9, 1, 6,
6, 20, 11, 9, 1, 18, 17, 14, 5, 8, 16, 2, 15, 12, 13, 10, 19, 4, 7, 3,
6, 2, 10, 12, 20, 1, 17, 16, 13, 4, 18, 14, 8, 3, 15, 5, 11, 7, 9, 19,
4, 16, 6, 12, 5, 17, 9, 15, 18, 19, 2, 7, 13, 20, 10, 1, 8, 11, 14, 3,
16, 7, 19, 10, 20, 5, 4, 11, 1, 18, 13, 3, 8, 6, 17, 2, 12, 9, 15, 14,
3, 11, 15, 10, 12, 19, 2, 6, 13, 16, 20, 9, 1, 8, 18, 4, 5, 14, 17, 7,
7, 16, 15, 11, 4, 9, 5, 6, 2, 20, 3, 10, 14, 1, 12, 17, 13, 19, 8, 18,
2, 12, 19, 17, 7, 16, 8, 3, 13, 14, 15, 20, 10, 4, 18, 11, 9, 1, 5, 6,
8, 10, 5, 3, 14, 15, 12, 17, 11, 1, 18, 2, 9, 7, 13, 4, 6, 20, 19, 16,
6, 5, 16, 8, 19, 12, 1, 9, 3, 2, 14, 20, 4, 17, 13, 15, 7, 10, 11, 18,
5, 12, 16, 19, 18, 13, 1, 3, 6, 4, 9, 7, 10, 15, 2, 14, 17, 20, 11, 8,
4, 5, 1, 3, 17, 11, 2, 14, 9, 10, 13, 19, 8, 12, 20, 6, 15, 18, 16, 7,
5, 6, 19, 2, 15, 10, 12, 7, 3, 18, 4, 20, 8, 14, 9, 17, 11, 13, 1, 16,
5, 16, 12, 3, 17, 6, 2, 14, 15, 9, 11, 18, 1, 13, 4, 19, 20, 10, 8, 7,
19, 6, 20, 5, 16, 11, 15, 9, 8, 3, 4, 1, 10, 12, 17, 7, 2, 14, 13, 18,
15, 20, 12, 14, 2, 4, 3, 19, 17, 5, 10, 18, 9, 11, 13, 7, 1, 6, 8, 16,
7, 13, 3, 10, 1, 15, 2, 11, 18, 16, 6, 5, 19, 12, 20, 14, 9, 17, 4, 8,
