1, 8, 12, 5, 16, 14, 3, 13, 6, 2, 7, 4, 15, 9, 11, 10,
8, 9, 11, 1, 6, 15, 4, 12, 14, 16, 10, 2, 7, 5, 3, 13,
16, 4, 3, 8, 15, 6, 10, 13, 2, 11, 1, 9, 14, 12, 5, 7,
14, 4, 15, 10, 11, 8, 1, 2, 7, 9, 3, 5, 12, 6, 16, 13,
2, 14, 10, 11, 5, 12, 1, 13, 9, 3, 4, 7, 8, 6, 15, 16,
7, 14, 13, 4, 1, 12, 10, 5, 6, 16, 3, 8, 15, 9, 11, 2,
5, 6, 14, 13, 11, 12, 4, 16, 15, 10, 1, 7, 2, 9, 3, 8,
13, 8, 16, 11, 5, 6, 2, 14, 1, 10, 7, 4, 12, 3, 15, 9,
4, 7, 10, 16, 12, 6, 14, 9, 8, 11, 1, 3, 2, 5, 13, 15,
5, 16, 6, 11, 9, 13, 10, 3, 4, 7, 1, 12, 8, 2, 14, 15,
8, 5, 9, 4, 1, 6, 10, 3, 11, 16, 12, 14, 2, 13, 15, 7,
9, 15, 1, 11, 4, 8, 12, 16, 14, 6, 5, 13, 2, 7, 10, 3,
12, 14, 4, 6, 13, 7, 10, 11, 9, 8, 3, 16, 15, 5, 2, 1,
3, 14, 9, 6, 10, 13, 2, 12, 4, 7, 8, 5, 15, 1, 16, 11,
2, 10, 6, 11, 16, 15, 5, 14, 12, 13, 7, 4, 3, 8, 9, 1,
15, 2, 9, 10, 1, 13, 11, 3, 4, 16, 5, 12, 14, 7, 6, 8,
4, 11, 7, 15, 13, 12, 2, 9, 5, 14, 3, 16, 1, 10, 8, 6,
8, 2, 14, 4, 12, 7, 11, 15, 3, 6, 16, 5, 1, 9, 10, 13,
6, 2, 4, 1, 10, 5, 9, 14, 13, 11, 12, 3, 8, 15, 7, 16,
3, 4, 2, 6, 11, 16, 15, 12, 14, 5, 8, 10, 9, 1, 13, 7,
12, 3, 1, 11, 2, 16, 6, 13, 8, 7, 15, 9, 14, 10, 4, 5,
13, 5, 6, 12, 14, 3, 10, 16, 4, 2, 1, 11, 7, 9, 15, 8,
4, 13, 8, 16, 10, 15, 12, 14, 2, 3, 7, 6, 11, 5, 9, 1,
